questionId,tradeId,userId,tradedAt,newValue,resolvedAt,resolveValue,Brier,set,active,timeToRes,timeSinceActive,inExp,firstActive,quarter,brierDiff,diffWeight
128,103035,122,12/7/2014 0:41,"0.98,0.02",12/31/2014 23:00,"[1, 0]",0.0008,A,N,24.92929035,30.02904299,in,NA,2,0.0006,0.049675926
145,103036,122,12/7/2014 0:42,"0.8,0.2",12/31/2014 0:00,"[1, 0]",0.08,B,Y,23.97017915,0.029820854,in,1st,2,-0.13125,0.236527778
403,103037,276,12/7/2014 1:04,"0.90000004,0.1",2/11/2015 23:59,"[0, 1]",1.620000072,A,N,66.95510569,30.04488274,in,NA,2,-0.036199928,0.035671296
1083,103038,10463,12/7/2014 1:14,"0.765,0.23499998",12/8/2014 18:20,"[0.741, 0.259]",0.001152001,N,NA,1.712088536,NA,out,NA,2,-0.005810012,0.197094907
918,103041,14,12/7/2014 1:41,"0.10005,0.17134091,0.11811498,0.08601195,0.060121443,0.019720584,0.07938205,0.08160629,0.06890866,0.07693434,0.010375013,0.0206795,0.009872492,0.060215987,0.009884674,0.020715486,0.006065719",1/13/2015 13:00,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.921147241,A,N,37.47120761,30.07045905,in,NA,2,-1.03E-05,0.01
720,103060,14,12/7/2014 1:44,"0.17079572,0.44985902,0.049093787,0.0711381,0.018764008,0.24034931",1/6/2015 22:59,"[1, 0, 0, 0, 0, 0]",0.955543584,A,N,30.88605136,30.0722704,in,NA,2,0.000221836,2.7209375
818,103098,14,12/7/2014 1:50,"0.81714445,0.18285547",1/31/2015 9:59,"[0, 1]",1.335450235,A,N,55.33983848,30.07681661,in,NA,2,0.023250154,0.226006944
733,103102,296,12/7/2014 1:51,"0.71,0.29",12/31/2014 23:59,"[1, 0]",0.1682,B,Y,24.92231074,0.077677681,in,1st,2,-0.205413492,0.045578704
1023,103100,296,12/7/2014 1:51,"0.65,0.34999996",12/31/2014 23:59,"[1, 0]",0.244999972,N,NA,24.92265789,NA,out,NA,2,-0.024551089,1.3825
154,103108,14,12/7/2014 1:52,"0.009226932,0.99077314",12/30/2014 22:00,"[0, 1]",0.000170271,A,N,23.83829039,30.07837628,in,NA,2,-2.97E-05,1.621886574
384,103109,14,12/7/2014 1:52,"0.9671738,0.028904807,0.0019910363,0.0016109872,0.0002127399,0.00010652592",12/30/2014 0:00,"[1, 0, 0, 0, 0, 0]",0.000438711,A,N,22.92155065,30.07844935,in,NA,2,-3.39E-05,1.622268519
418,103104,14,12/7/2014 1:52,"0.9907726,0.009227376",12/31/2014 0:00,"[1, 0]",0.000170289,A,N,23.92198581,30.07801419,in,NA,2,-2.97E-05,1.08037037
583,103103,296,12/7/2014 1:52,"0.99,0.010000001",12/31/2014 23:59,"[1, 0]",0.0002,A,N,24.92213673,30.0778517,in,NA,2,-0.0006,0.003912037
76,103112,14,12/7/2014 1:53,"0.9807159,0.019284135",12/31/2014 23:59,"[1, 0]",0.000743754,A,N,24.92140942,30.07857901,in,NA,2,-5.62E-05,1.07974537
103,103113,14,12/7/2014 1:53,"0.971927,0.028072992",12/31/2014 23:59,"[1, 0]",0.001576186,A,N,24.9213477,30.07864073,in,NA,2,0.000918206,0.219606481
128,103114,14,12/7/2014 1:53,"0.9807091,0.019290965",12/31/2014 23:00,"[1, 0]",0.00074428,A,N,24.87961613,30.0787172,in,NA,2,-5.57E-05,0.856412037
179,103118,14,12/7/2014 1:53,"0.9903477,0.00965235",12/31/2014 0:00,"[1, 0]",0.000186335,A,N,23.92103956,30.07896044,in,NA,2,-1.37E-05,1.626400463
191,103119,14,12/7/2014 1:53,"0.99348164,0.0065183835",12/31/2014 0:00,"[1, 0]",8.50E-05,A,N,23.92094324,30.07905676,in,NA,2,-1.50E-05,1.626597222
193,103121,14,12/7/2014 1:53,"0.009121666,0.99087834",12/31/2014 0:00,"[0, 1]",0.000166409,A,N,23.92088956,30.07911044,in,NA,2,-3.36E-05,1.626909722
419,103110,14,12/7/2014 1:53,"0.98514134,0.014858628",12/30/2014 23:00,"[1, 0]",0.000441559,A,N,23.87980607,30.07852726,in,NA,2,-3.37E-05,2.718634259
