questionId,tradeId,userId,tradedAt,newValue,resolvedAt,resolveValue,Brier,set,active,timeToRes,timeSinceActive,inExp,firstActive,quarter,brierDiff,diffWeight
1022,103115,296,12/7/2014 1:53,"0.55999994,0.43999988",12/31/2014 22:59,"[1, 0]",0.387199947,N,NA,24.8796024,NA,out,NA,2,0.059149972,1.618865741
195,103122,14,12/7/2014 1:54,"0.9814536,0.018546443",12/31/2014 0:00,"[1, 0]",0.00068794,A,N,23.92083183,30.07916817,in,NA,2,-0.000112062,2.734976852
197,103124,14,12/7/2014 1:54,"0.9999033,4.636999e-05,2.6364853e-05,2.3923363e-05",12/31/2014 22:59,"[1, 0, 0, 0]",8.31E-09,A,N,24.87904368,30.07927808,in,NA,2,-5.98E-10,8.10E-05
197,103125,14,12/7/2014 1:54,"0.99990493,4.483561e-05,2.6364896e-05,2.3923403e-05",12/31/2014 22:59,"[1, 0, 0, 0]",8.09E-09,A,N,24.87896692,30.07935484,in,NA,2,-2.18E-10,8.10E-05
197,103127,14,12/7/2014 1:54,"0.99990577,4.4835648e-05,2.5501065e-05,2.3923423e-05",12/31/2014 22:59,"[1, 0, 0, 0]",7.93E-09,A,N,24.87888298,30.07943878,in,NA,2,-1.61E-10,8.10E-05
197,103128,14,12/7/2014 1:54,"0.9999065,4.483568e-05,2.5501084e-05,2.3139582e-05",12/31/2014 22:59,"[1, 0, 0, 0]",7.76E-09,A,N,24.87880706,30.0795147,in,NA,2,-1.62E-10,1.627094907
204,103129,14,12/7/2014 1:54,"0.9806553,0.019344712",12/31/2014 23:59,"[1, 0]",0.000748435,A,N,24.9204135,30.07957492,in,NA,2,-5.16E-05,1.078784722
224,103131,14,12/7/2014 1:54,"0.99362314,0.006376862",12/31/2014 0:00,"[1, 0]",8.13E-05,A,N,23.9203676,30.0796324,in,NA,2,-5.55E-06,0.857592593
229,103132,14,12/7/2014 1:54,"0.96128494,0.038715076",12/31/2014 0:00,"[1, 0]",0.002997713,A,N,23.92027678,30.07972322,in,NA,2,-0.000202284,0.218865741
321,103134,14,12/7/2014 1:54,"0.048301466,0.9516873,1.1327863e-05,6.278483e-15,2.3521368e-15",12/31/2014 0:00,"[0, 1, 0, 0, 0]",0.001166516,A,N,23.92019873,30.07980127,in,NA,2,-7.79E-05,0.218946759
326,103135,14,12/7/2014 1:54,"0.9910126,0.008987449",12/31/2014 0:00,"[1, 0]",0.000161548,A,N,23.92014343,30.07985657,in,NA,2,0.000103794,1.087372685
328,103137,14,12/7/2014 1:55,"0.054267954,0.945732",2/11/2015 23:59,"[0, 1]",0.005890027,A,N,66.9200421,30.07994633,in,NA,2,-0.001179707,0.219050926
345,103140,14,12/7/2014 1:55,"0.9806115,0.01938854",12/31/2014 0:00,"[1, 0]",0.000751829,A,N,23.91988806,30.08011194,in,NA,2,-4.82E-05,2.733680556
347,103141,14,12/7/2014 1:55,"0.9806054,0.01939456",12/31/2014 0:00,"[1, 0]",0.000752299,A,N,23.91983772,30.08016228,in,NA,2,-4.77E-05,1.078217593
355,103142,14,12/7/2014 1:55,"0.9161803,0.08381962",1/1/2015 0:00,"[0, 1]",1.678772831,A,N,24.91978414,30.08021586,in,NA,2,0.022572849,0.21900463
358,103145,14,12/7/2014 1:55,"0.98058766,0.019412274",1/13/2015 0:00,"[1, 0]",0.000753675,A,N,36.91956053,30.08043947,in,NA,2,-4.63E-05,1.316539352
376,103147,14,12/7/2014 1:55,"0.99902904,0.00097090343",1/6/2015 0:00,"[1, 0]",1.89E-06,A,N,29.91950525,30.08049475,in,NA,2,-1.15E-07,1.62837963
403,103148,14,12/7/2014 1:55,"0.902881,0.097119",2/11/2015 23:59,"[0, 1]",1.6303882,A,N,66.91943661,30.08055181,in,NA,2,0.010388128,0.218738426
918,103146,296,12/7/2014 1:55,"0.090028435,0.20015176,0.100699775,0.083094664,0.0580823,0.019999998,0.07668963,0.08991464,0.06657148,0.08163255,0.010023122,0.019978113,0.009537647,0.05817363,0.009549415,0.020012876,0.005859987",1/13/2015 13:00,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.932357588,A,N,37.46120907,30.0804576,in,NA,2,0.011210348,0.23837963
416,103149,14,12/7/2014 1:56,"0.9902853,0.00971474",12/31/2014 0:00,"[1, 0]",0.000188752,A,N,23.91938613,30.08061387,in,NA,2,-1.12E-05,2.733912037
420,103150,14,12/7/2014 1:56,"0.58,0.42",3/4/2015 23:59,"[0, 1]",0.6728,A,N,87.91927266,30.08071577,in,NA,2,0,0.219224537
428,103152,14,12/7/2014 1:56,"0.9999028,9.717509e-05",12/31/2014 23:59,"[1, 0]",1.89E-08,A,N,24.91916215,30.08082628,in,NA,2,-1.10E-09,1.628923611
447,103153,14,12/7/2014 1:56,"0.20000002,0.8",2/6/2015 10:59,"[0, 1]",0.080000008,A,N,61.37743544,30.08088632,in,NA,2,0,0.21931713
451,103155,14,12/7/2014 1:56,"0.990277,0.009723055",12/31/2014 23:59,"[1, 0]",0.000189075,A,N,24.91896215,30.08102628,in,NA,2,-1.09E-05,1.629421296
452,103156,14,12/7/2014 1:56,"0.23341887,0.7665812",2/6/2015 9:59,"[0, 1]",0.108968705,A,N,61.33557678,30.08107832,in,NA,2,-0.006231314,0.219201389
467,103157,14,12/7/2014 1:56,"0.0007429121,0.0023942485,0.0006158214,0.0024040022,0.003684573,0.9901585",12/31/2014 23:59,"[0, 0, 0, 0, 0, 1]",6.37E-05,A,N,24.91882885,30.08115957,in,NA,2,-1.12E-06,0.000138889
386,103162,14,12/7/2014 1:57,"0.9817333,0.018266745",12/31/2014 23:00,"[1, 0]",0.000667346,A,N,24.87661135,30.08172198,in,NA,2,-3.07E-05,1.076631944
467,103158,14,12/7/2014 1:57,"0.00072294014,0.0023298832,0.00059926603,0.0023393745,0.0035855195,0.9904231",12/31/2014 23:59,"[0, 0, 0, 0, 0, 1]",6.03E-05,A,N,24.91869155,30.08129687,in,NA,2,-3.38E-06,1.630300926
468,103159,14,12/7/2014 1:57,"0.9906954,0.0093045235",12/31/2014 23:59,"[1, 0]",0.00017315,A,N,24.91858007,30.08140836,in,NA,2,-2.68E-05,1.076909722
583,103163,14,12/7/2014 1:57,"0.9902559,0.009744175",12/31/2014 23:59,"[1, 0]",0.000189896,A,N,24.9182184,30.08177002,in,NA,2,-1.01E-05,1.076597222
625,103166,14,12/7/2014 1:58,"0.99064904,0.009350996",12/31/2014 23:59,"[1, 0]",0.000174882,A,N,24.91797654,30.08201188,in,NA,2,-2.51E-05,0.860520833
635,103167,14,12/7/2014 1:58,"0.9804918,0.019508256",12/31/2014 23:59,"[1, 0]",0.000761142,A,N,24.91791555,30.08207288,in,NA,2,-3.89E-05,0.8571875
679,103169,14,12/7/2014 1:58,"0.96096414,0.03903584",12/31/2014 23:59,"[1, 0]",0.003047595,A,N,24.91772114,30.08226728,in,NA,2,-0.000152405,0.219247685
693,103170,14,12/7/2014 1:58,"0.98154265,0.018457374",12/31/2014 23:59,"[1, 0]",0.000681348,A,N,24.91765733,30.08233109,in,NA,2,-0.000118653,1.336064815
702,103171,14,12/7/2014 1:58,"0.9707089,0.029291106",12/31/2014 23:59,"[1, 0]",0.001715937,A,N,24.91760235,30.08238608,in,NA,2,-8.41E-05,0.219201389
704,103172,14,12/7/2014 1:58,"0.97070193,0.02929811",12/31/2014 22:59,"[1, 0]",0.001716756,A,N,24.87584756,30.08247419,in,NA,2,-8.32E-05,0.219201389
710,103174,14,12/7/2014 1:58,"0.9856709,0.014329142",12/31/2014 23:59,"[1, 0]",0.000410647,A,N,24.91741025,30.08257818,in,NA,2,-6.57E-05,1.075706019
715,103175,14,12/7/2014 1:58,"9.388444e-05,0.99990606",12/31/2014 23:59,"[0, 1]",1.76E-08,A,N,24.91735976,30.08262867,in,NA,2,-2.36E-09,-171.7118403
144,103182,14,12/7/2014 1:59,"0.985738,0.014261969",12/31/2014 23:00,"[1, 0]",0.000406808,A,N,24.87511534,30.08321799,in,NA,2,-1.80E-05,2.732256944
173,103183,14,12/7/2014 1:59,"0.9906269,0.009373123",12/31/2014 23:59,"[1, 0]",0.00017571,A,N,24.91671308,30.08327535,in,NA,2,-2.43E-05,1.075069444
719,103176,14,12/7/2014 1:59,"0.9904258,0.009574095",1/5/2015 23:59,"[1, 0]",0.000183329,A,N,29.91725275,30.08273568,in,NA,2,-8.62E-06,1.075671296
786,103177,14,12/7/2014 1:59,"0.99022484,0.009775151",12/31/2014 23:59,"[1, 0]",0.000191107,A,N,24.91718679,30.08280163,in,NA,2,-8.89E-06,2.732106481
791,103178,14,12/7/2014 1:59,"0.9511131,0.04888687",12/31/2014 23:59,"[1, 0]",0.004779855,A,N,24.91713303,30.0828554,in,NA,2,-0.000220145,0.219027778
856,103180,14,12/7/2014 1:59,"0.97906417,0.020935787",12/31/2014 23:59,"[1, 0]",0.000876616,A,N,24.91698699,30.08300143,in,NA,2,-0.000113308,1.075393519
1041,103181,14,12/7/2014 1:59,"0.9804322,0.01956783",12/31/2014 23:59,"[1, 0]",0.000765799,A,N,24.91692335,30.08306508,in,NA,2,-3.42E-05,0.379826389
670,103184,14,12/7/2014 2:00,"0.9932914,0.0067086187",12/31/2014 23:59,"[1, 0]",9.00E-05,A,N,24.91664729,30.08334114,in,NA,2,-1.40E-05,1.075046296
199,103188,176,12/7/2014 2:50,"0.6,0.4",12/30/2014 23:00,"[1, 0]",0.32,B,Y,23.8402103,0.118123032,in,1st,2,-0.467534588,0.149351852
352,103189,176,12/7/2014 2:51,"0.67,0.33",12/15/2014 22:00,"[0, 1]",0.8978,B,Y,8.797525149,0.119141517,in,1st,2,-0.30671242,0.149189815
705,103192,176,12/7/2014 2:53,"0.6,0.39999998",12/31/2014 22:59,"[1, 0]",0.319999984,B,Y,24.83772409,0.120597665,in,1st,2,-0.318901757,0.156261574
404,103193,176,12/7/2014 2:54,"0.57,0.43000004",2/11/2015 23:59,"[0, 1]",0.649799954,B,Y,66.87824088,0.121064676,in,1st,2,-0.288364559,0.147893519
102,103194,176,12/7/2014 2:55,"0.7499999,0.25",12/31/2014 0:00,"[1, 0]",0.12500005,B,Y,23.87813353,0.12186647,in,1st,2,-0.37499983,0.144351852
190,103195,176,12/7/2014 2:56,"0.36,0.64",12/31/2014 0:00,"[0, 1]",0.2592,B,Y,23.87766659,0.12233341,in,1st,2,-0.803926579,0.144502315
718,103198,176,12/7/2014 2:57,"0.79,0.21000001",1/5/2015 23:59,"[1, 0]",0.088200004,B,Y,29.8769696,0.123018823,in,1st,2,-0.285654113,0.154085648
733,103199,176,12/7/2014 2:57,"0.77,0.22999999",12/31/2014 23:59,"[1, 0]",0.105799995,B,Y,24.87672475,0.12326368,in,1st,2,-0.062400005,0.153969907
183,103200,176,12/7/2014 2:58,"0.83000004,0.17",12/31/2014 23:00,"[1, 0]",0.057799986,B,Y,24.83467821,0.12365512,in,1st,2,-0.057399994,0.15619213
192,103201,176,12/7/2014 2:58,"0.66,0.34000003",12/31/2014 0:00,"[1, 0]",0.23120002,B,Y,23.87616382,0.123836184,in,1st,2,-0.151612453,0.143310185
624,103202,176,12/7/2014 2:58,"0.83,0.16999999",12/31/2014 23:59,"[1, 0]",0.057799997,B,Y,24.87585296,0.124135462,in,1st,2,-0.030400024,0.149675926
422,103203,176,12/7/2014 3:02,"0.28,0.71999997",12/31/2014 23:59,"[1, 0]",1.036799957,B,Y,24.87314809,0.126840331,in,1st,2,-0.169487854,0.143009259
194,103206,176,12/7/2014 3:03,"0.65,0.35000002",12/31/2014 0:00,"[1, 0]",0.245000014,B,Y,23.87247693,0.127523065,in,1st,2,-0.196179654,0.139814815
213,103207,176,12/7/2014 3:04,"0.6499999,0.35000005",12/31/2014 23:00,"[1, 0]",0.245000105,B,Y,24.83049645,0.127836879,in,1st,2,-0.407872833,0.145486111
84,103211,176,12/7/2014 3:07,"0.67,0.32999998",12/31/2014 0:00,"[1, 0]",0.217799987,B,Y,23.86982173,0.130178271,in,1st,2,-0.063450036,0.13587963
172,103210,176,12/7/2014 3:07,"0.57,0.43",1/5/2015 17:57,"[1, 0]",0.3698,B,Y,29.61839548,0.129879984,in,1st,2,-0.371353186,0.136608796
220,103212,176,12/7/2014 3:07,"0.64,0.35999998",12/31/2014 23:59,"[1, 0]",0.259199986,B,Y,24.86963108,0.130357348,in,1st,2,-0.168303463,0.137592593
937,103213,821,12/7/2014 4:38,"0.77000004,0.23",12/31/2014 23:59,"[1, 0]",0.105799982,B,Y,24.80676651,0.19322192,in,1st,2,-0.051000018,0.086261574
1083,103214,10464,12/7/2014 5:58,"0.86499995,0.13499999",12/8/2014 18:20,"[0.741, 0.259]",0.03075199,N,NA,1.514988516,NA,out,NA,2,0.029599989,0.003229167
1083,103215,10465,12/7/2014 6:03,"0.89500004,0.105000004",12/8/2014 18:20,"[0.741, 0.259]",0.047432011,N,NA,1.511762847,NA,out,NA,2,0.016680021,0.002731481
1083,103216,296,12/7/2014 6:06,"0.82,0.17999999",12/8/2014 18:20,"[0.741, 0.259]",0.012482002,N,NA,1.50903743,NA,out,NA,2,-0.03495001,0.094872685
189,103218,10466,12/7/2014 6:22,"0.51000005,0.49",12/22/2014 23:59,"[1, 0]",0.480199951,B,Y,15.73366955,0.265636009,in,1st,2,0.323399951,0.592175926
84,103219,10466,12/7/2014 6:23,"0.48499995,0.515",12/31/2014 0:00,"[1, 0]",0.530450052,B,Y,23.73393534,0.266064655,in,1st,2,0.312650065,0.60630787
102,103220,10466,12/7/2014 6:23,"0.53287303,0.46712688",12/31/2014 0:00,"[1, 0]",0.436415128,B,Y,23.73378451,0.266215488,in,1st,2,0.311415078,0.5784375
145,103221,10466,12/7/2014 6:23,"0.6499999,0.35000002",12/31/2014 0:00,"[1, 0]",0.245000084,B,Y,23.73364775,0.266352248,in,1st,2,0.165000084,0.443159722
172,103222,10466,12/7/2014 6:23,"0.43499997,0.565",1/5/2015 17:57,"[1, 0]",0.638450034,B,Y,29.4817859,0.266489565,in,1st,2,0.268650034,0.659664352
190,103224,10466,12/7/2014 6:24,"0.53000003,0.47000003",12/31/2014 0:00,"[0, 1]",0.5618,B,Y,23.73316104,0.266838963,in,1st,2,0.3026,0.892083333
192,103225,10466,12/7/2014 6:24,"0.48000002,0.52000004",12/31/2014 0:00,"[1, 0]",0.540800021,B,Y,23.73285393,0.267146075,in,1st,2,0.3096,0.891770833
194,103226,10466,12/7/2014 6:24,"0.47499996,0.52500004",12/31/2014 0:00,"[1, 0]",0.551250084,B,Y,23.73266667,0.267333332,in,1st,2,0.30625007,0.558009259
199,103227,10466,12/7/2014 6:25,"0.45,0.55",12/30/2014 23:00,"[1, 0]",0.605,B,Y,23.69086103,0.267472299,in,1st,2,0.285,0.555578704
205,103228,10466,12/7/2014 6:25,"0.439223,0.560777",12/31/2014 23:59,"[1, 0]",0.628941687,B,Y,24.73245057,0.267537857,in,1st,2,0.273526138,0.891354167
220,103229,10466,12/7/2014 6:25,"0.47,0.53000003",12/31/2014 23:59,"[1, 0]",0.561800032,B,Y,24.7320391,0.267949325,in,1st,2,0.302600046,0.628530093
343,103230,10466,12/7/2014 6:26,"0.73405415,0.26594585",3/4/2015 23:59,"[0, 1]",1.07767099,B,Y,87.73180859,0.268179839,in,1st,2,0.266868227,0.224953704
352,103231,10466,12/7/2014 6:26,"0.7584231,0.24157688",12/15/2014 22:00,"[0, 1]",1.150411228,B,Y,8.648336739,0.268329928,in,1st,2,0.252611228,0.191574074
359,103232,10466,12/7/2014 6:26,"0.629564,0.37043598",1/13/2015 0:00,"[1, 0]",0.274445645,B,Y,36.73156872,0.268431276,in,1st,2,0.23524564,0.310428241
360,103233,10466,12/7/2014 6:27,"0.45324495,0.546755",3/4/2015 23:59,"[1, 0]",0.597882115,B,Y,87.73119173,0.268796696,in,1st,2,0.288181741,0.572152778
404,103234,10466,12/7/2014 6:27,"0.63500005,0.36499995",2/11/2015 23:59,"[0, 1]",0.806450127,B,Y,66.73035192,0.268953632,in,1st,2,0.156650173,0.224305556
417,103236,10466,12/7/2014 6:28,"0.5936084,0.40639156",12/31/2014 0:00,"[1, 0]",0.330308233,B,Y,23.73028006,0.26971994,in,1st,2,-0.286054605,0.590729167
422,103237,10466,12/7/2014 6:28,"0.21499999,0.78499997",12/31/2014 23:59,"[1, 0]",1.232449969,B,Y,24.73013146,0.269856966,in,1st,2,0.195650012,0.654456019
469,103238,10466,12/7/2014 6:30,"0.18798093,0.8120191",12/31/2014 23:59,"[1, 0]",1.318749989,B,Y,24.72853374,0.271454683,in,1st,2,0.120479812,0.55525463
213,103242,10466,12/7/2014 6:33,"0.48830634,0.51169366",12/31/2014 23:00,"[1, 0]",0.523660803,B,Y,24.68500826,0.273325073,in,1st,2,0.278660698,0.598298611
554,103243,10466,12/7/2014 6:33,"0.65996957,0.33657387,0.0002801191,0.0027566052,0.00021000486,0.00020976017",12/31/2014 23:59,"[1, 0, 0, 0, 0, 0]",0.04625718,B,Y,24.7265289,0.273459521,in,1st,2,0.040308965,0.00212963
624,103245,10466,12/7/2014 6:34,"0.6235297,0.37647027",12/31/2014 23:59,"[1, 0]",0.283459751,B,Y,24.72617868,0.273809751,in,1st,2,0.225659754,0.58431713
628,103246,10466,12/7/2014 6:34,"0.1442223,0.8557777",12/31/2014 23:59,"[1, 0]",1.464710944,B,Y,24.72610551,0.273882912,in,1st,2,0.158914699,0.595381944
554,103247,296,12/7/2014 6:36,"0.78,0.21776357,0.00018123728,0.0017835259,0.00013587333,0.000135715",12/31/2014 23:59,"[1, 0, 0, 0, 0, 0]",0.019363727,B,Y,24.72440845,0.275579976,in,1st,2,-0.026893453,0.626157407
705,103248,10466,12/7/2014 6:38,"0.46198347,0.5380165",12/31/2014 22:59,"[1, 0]",0.578923541,B,Y,24.68145882,0.276862936,in,1st,2,0.258923557,0.523101852
718,103249,10466,12/7/2014 6:39,"0.6082783,0.39172176",1/5/2015 23:59,"[1, 0]",0.306891828,B,Y,29.72288803,0.277100398,in,1st,2,0.218691823,0.273402778
733,103250,10466,12/7/2014 6:39,"0.5928788,0.40712118",12/31/2014 23:59,"[1, 0]",0.331495327,B,Y,24.72276507,0.277223361,in,1st,2,0.225695331,0.881689815
867,103252,10466,12/7/2014 6:41,"0.27080494,0.7291951",12/15/2014 23:59,"[0, 1]",0.146670609,B,Y,8.721111597,0.278876828,in,1st,2,0.139384553,0.623935185
183,103258,10466,12/7/2014 6:42,"0.64410853,0.3558915",12/31/2014 23:00,"[1, 0]",0.253317498,B,Y,24.67849051,0.279842821,in,1st,2,0.195517512,0.837881944
934,103254,10466,12/7/2014 6:42,"0.36575538,0.6342446",12/31/2014 22:59,"[0.6567000000000001, 0.34329999999999994]",0.169297532,B,Y,24.67894768,0.279374074,in,1st,2,0.100561149,0.577349537
937,103255,10466,12/7/2014 6:42,"0.59754646,0.40245354",12/31/2014 23:59,"[1, 0]",0.323937704,B,Y,24.72050733,0.279481099,in,1st,2,0.218137722,0.283993056
580,103262,10466,12/7/2014 6:44,"0.5509844,0.4490156",12/31/2014 23:59,"[1, 0]",0.403230018,B,Y,24.71940266,0.280585766,in,1st,2,0.235030041,0.211898148
906,103264,10466,12/7/2014 6:44,"0.023839489,0.00027554994,0.00027554994,0.0428758,0.00027554994,0.14251578,0.00027554994,0.00027554994,0.00027554994,0.09522421,0.00027554994,0.00027554994,0.028631141,0.00027554994,0.00027554994,0.00027554994,0.078266606,0.00027554994,0.00027554994,0.015329115,0.020526208,0.1536801,0.015592138,0.016470145,0.016516773,0.07961739,0.25075728,0.016024519,0.00027554994,0.00027554994",1/11/2015 22:59,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.942819168,B,Y,35.67723349,0.281088271,in,1st,2,0.070159939,0.603796296
907,103265,10466,12/7/2014 6:45,"0.04059567,0.12886971,0.052064456,0.0011910327,0.0012026867,0.0012144613,0.0012263531,0.0012383683,0.027972056,0.0012505052,0.001262765,0.042979393,0.03232139,0.038270537,0.025152408,0.0012986722,0.0012860487,0.001273554,0.0013114259,0.0015192089,0.029446542,0.0013243064,0.0013625545,0.37970734,0.003411131,0.03947741,0.0013894989,0.13897729,0.0014031776",1/11/2015 22:59,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",0.91473974,B,Y,35.67703502,0.28128674,in,1st,2,0.152074884,0.877800926
917,103266,10466,12/7/2014 6:45,"0.018360045,0.033475798,0.01676437,0.025479577,0.014517792,0.14783287,0.02488961,0.0459922,0.009771187,0.049517717,0.0029950405,0.0029950405,0.1536374,0.21576563,0.22696069,0.008050049,0.0029950405",1/13/2015 10:59,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.101718459,B,Y,37.17684024,0.281481515,in,1st,2,-0.000178134,0.510787037
924,103267,10466,12/7/2014 6:45,"0.48162654,0.10916376,0.06175239,0.06175239,0.2857218",1/11/2015 23:59,"[1, 0, 0, 0, 0]",0.319258753,B,Y,35.71805389,0.281934532,in,1st,2,0.202983305,0.835717593
1025,103269,10466,12/7/2014 6:46,"0.52875,0.47125",1/31/2015 22:59,"[0.7049718, 0.29502819999999996]",0.062108246,B,Y,55.67579006,0.282531694,in,1st,2,-0.026068089,1.01587963
1038,103272,10466,12/7/2014 6:48,"0.70095474,0.2990453",2/28/2015 23:59,"[0, 1]",0.982675039,B,Y,83.71621289,0.283775531,in,1st,2,0.179242234,0.833865741
803,103286,10466,12/7/2014 6:52,"0.3240469,0.67595315",1/5/2015 22:59,"[0, 1]",0.210012754,B,Y,29.67215452,0.286167243,in,1st,2,0.130012818,0.003240741
803,103297,296,12/7/2014 6:56,"0.23000002,0.76999986",1/5/2015 22:59,"[0, 1]",0.105800074,B,Y,29.66891261,0.289409153,in,1st,2,-0.104212681,0.540798611
103,103298,10371,12/7/2014 7:09,"0.98058414,0.019415928",12/31/2014 23:59,"[1, 0]",0.000753954,A,N,24.70173839,30.29825003,in,NA,2,-0.000822232,0.636712963
229,103299,10371,12/7/2014 7:09,"0.97243863,0.027561381",12/31/2014 0:00,"[1, 0]",0.001519259,A,N,23.70141177,30.29858823,in,NA,2,-0.001478454,0.864548611
321,103300,10371,12/7/2014 7:10,"0.03439313,0.9655954,1.1455595e-05,6.3375903e-15,2.3524858e-15",12/31/2014 0:00,"[0, 1, 0, 0, 0]",0.000591444,A,N,23.70125336,30.29874664,in,NA,2,-0.000575072,0.5253125
328,103301,10371,12/7/2014 7:10,"0.038896985,0.961103",2/11/2015 23:59,"[0, 1]",0.003025952,A,N,66.70099414,30.29899428,in,NA,2,-0.002864075,0.859305556
355,103302,10371,12/7/2014 7:10,"0.9397212,0.060278784",1/1/2015 0:00,"[0, 1]",1.766151898,A,N,24.70077892,30.29922108,in,NA,2,0.087379067,2.496076389
403,103303,10371,12/7/2014 7:10,"0.930157,0.06984301",2/11/2015 23:59,"[0, 1]",1.730384071,A,N,66.7007034,30.29928502,in,NA,2,0.09999587,0.019803241
420,103304,10371,12/7/2014 7:11,"0.49000004,0.51",3/4/2015 23:59,"[0, 1]",0.480200039,A,N,87.70005289,30.29993553,in,NA,2,-0.192599961,0.196238426
447,103305,10371,12/7/2014 7:12,"0.15,0.84999996",2/6/2015 10:59,"[0, 1]",0.045000012,A,N,61.15811928,30.30020248,in,NA,2,-0.034999996,0.524027778
