"ActQstnNum","Act Brier Score"
"103",0.00159658096562147
"1030",0.459641591123902
"1041",0.0608020395455232
"1042",0.0415397084592057
"128",0.000384273962013141
"129",1.86542430943214
"138",1.90296885320103
"144",0.000955571565697312
"154",0.0011681561345885
"173",0.000712242184900854
"175",0.00109823726952618
"179",0.00148699610388669
"191",0.000715831867093162
"193",0.00385073647391615
"195",0.00101743622323083
"197",0.000132056695357268
"204",0.00311282867902493
"224",0.000182956223207562
"229",0.00198082774750448
"321",0.173405895071636
"326",0.000421765227241443
"328",0.0687450467299945
"345",0.00310623091560299
"347",0.00334976074371951
"355",1.46182682443062
"358",0.0100105801275897
"374",0.00302180166560156
"376",8.86367637374411e-05
"384",0.00998651568967167
"386",0.000978138607526241
"403",1.48537454398504
"416",0.000536366045260063
"418",0.000953827966179381
"419",0.00253709876958695
"420",0.85665735545078
"428",0.000496709934012942
"44",0.000521577944853543
"447",0.106073310917025
"45",0.00014383443990023
"451",0.0176783473901568
"452",0.123482401752078
"467",6.56313260214448e-05
"468",0.000495430183799902
"48",0.0059249839606357
"583",0.00172525571009747
"625",0.00276424087133429
"635",0.00362454098216279
"663",0.094117817847202
"665",0.243118789477785
"670",0.000158756541044546
"679",0.0452026088341832
"693",0.00980795189125992
"702",0.00500692753239499
"704",0.00333359759927453
"710",0.00360408673535729
"715",0.00479950117432021
"719",0.00097291699152327
"720",0.795351639851807
"76",0.00531954643843654
"786",0.00103737950381439
"791",0.00206487304246036
"801",0.0484737799006771
"818",0.905100904936196
"819",0.242677237727575
"853",0.0610758727014286
"856",0.00432502584201876
"875",0.0536093349724765
"876",0.664232385191607
"897",0.00934692091987821
"905",0.149816572242063
"910",0.479045728999013
"918",0.896898247484585
"920",0.00334240038737284
"922",0.00912599250062568
"923",0.00456429121101939
"925",0.112735813969065
"940",0.0850580528882865
"957",0.078128262041606
"962",0.126555327682367
"977",0.105528321056102
"987",0.0773706526595982
