questionId,month,brier,set,inExp,active,1stActive
43,12/7/2014,0.000396893,B,Y,N,NA
44,12/7/2014,0.005864343,A,Y,A,1
45,12/7/2014,0.000179659,A,Y,A,1
46,12/7/2014,0.000257505,B,Y,N,NA
47,12/7/2014,0.002272333,B,Y,N,NA
48,12/7/2014,0.001696963,A,Y,A,1
56,12/7/2014,0.001443568,N,N,NA,NA
76,12/7/2014,0.049306638,A,Y,A,1
76,1/7/2015,0.007373883,A,Y,N,NA
84,12/7/2014,0.008143997,B,Y,N,NA
84,1/7/2015,0.040007005,B,Y,A,1
102,12/7/2014,0.012971289,B,Y,N,NA
102,1/7/2015,0.056119383,B,Y,A,1
103,12/7/2014,0.053442562,A,Y,A,1
103,1/7/2015,0.001715724,A,Y,N,NA
125,12/7/2014,0.001092502,N,N,NA,NA
125,1/7/2015,0.003613105,N,N,NA,NA
128,12/7/2014,0.007143526,A,Y,A,1
128,1/7/2015,0.000472693,A,Y,N,NA
129,12/7/2014,1.470792835,A,Y,A,1
138,12/7/2014,1.802283154,A,Y,A,1
144,12/7/2014,0.008357376,A,Y,A,1
144,1/7/2015,0.000725279,A,Y,N,NA
145,12/7/2014,0.004526218,B,Y,N,NA
145,1/7/2015,0.125086575,B,Y,A,1
149,12/7/2014,0.026988134,N,N,NA,NA
149,1/7/2015,0.026988134,N,N,NA,NA
154,12/7/2014,0.069878706,A,Y,A,1
154,1/7/2015,0.00163323,A,Y,N,NA
172,12/7/2014,0.066833461,B,Y,N,NA
172,1/7/2015,0.08267445,B,Y,A,1
173,12/7/2014,0.002428098,A,Y,A,1
173,1/7/2015,0.000455565,A,Y,N,NA
175,12/7/2014,0.000654425,A,Y,A,1
177,12/7/2014,0.000935142,N,N,NA,NA
179,12/7/2014,0.049226829,A,Y,A,1
179,1/7/2015,0.00173017,A,Y,N,NA
183,12/7/2014,0.003929188,B,Y,N,NA
183,1/7/2015,0.018043817,B,Y,A,1
189,12/7/2014,0.005339699,B,Y,N,NA
189,1/7/2015,0.038366076,B,Y,A,1
190,12/7/2014,0.048851558,B,Y,N,NA
190,1/7/2015,0.110102955,B,Y,A,1
191,12/7/2014,0.053237993,A,Y,A,1
191,1/7/2015,0.001460418,A,Y,N,NA
192,12/7/2014,0.855678713,B,Y,N,NA
192,1/7/2015,0.050289078,B,Y,A,1
193,12/7/2014,0.013058287,A,Y,A,1
193,1/7/2015,0.001506464,A,Y,N,NA
194,12/7/2014,0.044632894,B,Y,N,NA
194,1/7/2015,0.054311367,B,Y,A,1
195,12/7/2014,0.009174732,A,Y,A,1
195,1/7/2015,0.001794702,A,Y,N,NA
197,12/7/2014,0.017550464,A,Y,A,1
197,1/7/2015,0.00075773,A,Y,N,NA
199,12/7/2014,0.020417395,B,Y,N,NA
199,1/7/2015,0.0822261,B,Y,A,1
204,12/7/2014,0.009452702,A,Y,A,1
204,1/7/2015,0.003944821,A,Y,N,NA
205,12/7/2014,0.351606213,B,Y,N,NA
205,1/7/2015,0.07832852,B,Y,A,1
213,12/7/2014,0.04361461,B,Y,N,NA
213,1/7/2015,0.075932898,B,Y,A,1
217,12/7/2014,0.025071613,B,Y,N,NA
217,1/7/2015,0.024371155,B,Y,A,1
220,12/7/2014,0.017970628,B,Y,N,NA
220,1/7/2015,0.054216074,B,Y,A,1
224,12/7/2014,0.02583569,A,Y,A,1
224,1/7/2015,0.002015171,A,Y,N,NA
226,12/7/2014,0.236605869,N,N,NA,NA
229,12/7/2014,0.052113248,A,Y,A,1
229,1/7/2015,0.002574096,A,Y,N,NA
231,12/7/2014,0.244650592,N,N,NA,NA
231,1/7/2015,0.205622575,N,N,NA,NA
321,12/7/2014,0.134167978,A,Y,A,1
321,1/7/2015,0.00062646,A,Y,N,NA
326,12/7/2014,0.051610837,A,Y,A,1
326,1/7/2015,0.000614092,A,Y,N,NA
328,12/7/2014,0.163028799,A,Y,A,1
328,1/7/2015,0.017721746,A,Y,N,NA
343,12/7/2014,0.291497218,B,Y,N,NA
343,1/7/2015,0.163460841,B,Y,A,1
345,12/7/2014,0.170001381,A,Y,A,1
345,1/7/2015,0.002611993,A,Y,N,NA
347,12/7/2014,0.112171847,A,Y,A,1
347,1/7/2015,0.001920684,A,Y,N,NA
349,12/7/2014,0.620798507,B,Y,N,NA
352,12/7/2014,0.047756266,B,Y,N,NA
352,1/7/2015,0.345186642,B,Y,A,1
355,12/7/2014,1.312891583,A,Y,A,1
355,1/7/2015,1.580230832,A,Y,N,NA
358,12/7/2014,0.041865356,A,Y,A,1
358,1/7/2015,0.00427818,A,Y,N,NA
359,12/7/2014,0.006342628,B,Y,N,NA
359,1/7/2015,0.011652874,B,Y,A,1
360,12/7/2014,0.119274254,B,Y,N,NA
360,1/7/2015,0.116366114,B,Y,A,1
372,12/7/2014,0.000580012,B,Y,N,NA
374,12/7/2014,0.008114837,A,Y,A,1
376,12/7/2014,0.018128331,A,Y,A,1
376,1/7/2015,0.001224851,A,Y,N,NA
379,12/7/2014,0.199891444,N,N,NA,NA
379,1/7/2015,0.212739357,N,N,NA,NA
384,12/7/2014,0.010013266,A,Y,A,1
384,1/7/2015,0.000468564,A,Y,N,NA
