,Q1,,q1,q2,q3,q4,setA,setB,SetN,Active,,,Set A,Set B
217,9,1,T,F,F,F,F,T,F,,N,N,842,860
220,5,1,T,F,F,F,F,T,F,,N,N,847,861
224,14,1,T,F,F,F,T,F,F,,Y,N,851,862
225,1,1,T,F,F,F,F,F,T,,N,N,853,865
226,0,1,T,F,F,F,F,F,T,,N,N,856,866
227,0,1,T,F,F,F,F,F,T,,N,N,858,867
228,4,1,T,F,F,F,F,F,T,,N,N,863,877
229,58,1,T,F,F,F,T,F,F,,Y,N,875,878
230,16,1,T,F,F,F,T,F,F,,Y,N,876,880
231,3,1,T,F,F,F,F,F,T,,N,N,895,894
253,18,1,T,F,F,F,T,F,F,,Y,N,897,896
254,4,1,T,F,F,F,F,T,F,,N,N,900,898
257,3,1,T,F,F,F,F,T,F,,N,N,905,899
287,0,1,T,F,F,F,F,F,T,,N,N,910,901
290,0,1,T,F,F,F,F,F,T,,N,N,918,906
291,0,1,T,F,F,F,F,F,T,,N,N,920,907
292,0,1,T,F,F,F,F,F,T,,N,N,922,917
293,0,1,T,F,F,F,F,F,T,,N,N,923,924
294,0,1,T,F,F,F,F,F,T,,N,N,925,928
295,0,1,T,F,F,F,F,F,T,,N,N,926,932
296,0,1,T,F,F,F,F,F,T,,N,N,927,934
297,0,1,T,F,F,F,F,F,T,,N,N,929,937
298,0,1,T,F,F,F,F,F,T,,N,N,931,939
299,0,1,T,F,F,F,F,F,T,,N,N,933,947
300,0,1,T,F,F,F,F,F,T,,N,N,936,948
301,0,1,T,F,F,F,F,F,T,,N,N,940,949
302,1,1,T,F,F,F,F,F,T,,N,N,941,951
307,4,1,T,F,F,F,F,T,F,,N,N,942,952
309,22,1,T,F,F,F,T,F,F,,Y,N,943,953
310,0,1,T,F,F,F,F,F,T,,N,N,944,954
311,1,1,T,F,F,F,F,F,T,,N,N,957,956
312,8,1,T,F,F,F,F,F,T,,N,N,958,967
313,13,1,T,F,F,F,F,F,T,,N,N,959,968
314,16,1,T,F,F,F,T,F,F,,Y,N,961,969
315,0,1,T,F,F,F,F,F,T,,N,N,962,971
316,11,1,T,F,F,F,T,F,F,,Y,N,963,972
317,10,1,T,F,F,F,F,F,T,,N,N,964,973
