,Q1,,q1,q2,q3,q4,setA,setB,SetN,Active,,,Set A,Set B
907,13,1,T,F,F,F,F,T,F,,N,N,,
908,58,1,T,F,F,F,F,F,T,,N,N,,
909,8,1,T,F,F,F,F,F,T,,N,N,,
910,24,1,T,F,F,F,T,F,F,,Y,N,,
912,2,1,T,F,F,F,F,F,T,,N,N,,
913,1,1,T,F,F,F,F,F,T,,N,N,,
914,2,1,T,F,F,F,F,F,T,,N,N,,
915,2,1,T,F,F,F,F,F,T,,N,N,,
916,5,1,T,F,F,F,F,F,T,,N,N,,
917,29,1,T,F,F,F,F,T,F,,N,N,,
918,174,1,T,F,F,F,T,F,F,,Y,N,,
919,1,1,T,F,F,F,F,F,T,,N,N,,
920,59,1,T,F,F,F,T,F,F,,Y,N,,
921,1,1,T,F,F,F,F,F,T,,N,N,,
922,72,1,T,F,F,F,T,F,F,,Y,N,,
923,38,1,T,F,F,F,T,F,F,,Y,N,,
924,4,1,T,F,F,F,F,T,F,,N,N,,
925,166,1,T,F,F,F,T,F,F,,Y,N,,
926,45,1,T,F,F,F,T,F,F,,Y,N,,
927,62,1,T,F,F,F,T,F,F,,Y,N,,
928,0,1,T,F,F,F,F,T,F,,N,N,,
929,11,1,T,F,F,F,T,F,F,,Y,N,,
931,14,1,T,F,F,F,T,F,F,,Y,N,,
932,6,1,T,F,F,F,F,T,F,,N,N,,
933,15,1,T,F,F,F,T,F,F,,Y,N,,
934,14,1,T,F,F,F,F,T,F,,N,N,,
935,5,1,T,F,F,F,F,F,T,,N,N,,
936,27,1,T,F,F,F,T,F,F,,Y,N,,
937,14,1,T,F,F,F,F,T,F,,N,N,,
938,15,1,T,F,F,F,F,F,T,,N,N,,
939,2,1,T,F,F,F,F,T,F,,N,N,,
940,86,1,T,F,F,F,T,F,F,,Y,N,,
941,1,1,T,F,F,F,T,F,F,,Y,N,,
942,15,1,T,F,F,F,T,F,F,,Y,N,,
943,5,1,T,F,F,F,T,F,F,,Y,N,,
944,8,1,T,F,F,F,T,F,F,,Y,N,,
946,1,1,T,F,F,F,F,F,T,,N,N,,
947,42,1,T,F,F,F,F,T,F,,N,N,,
948,12,1,T,F,F,F,F,T,F,,N,N,,
949,8,1,T,F,F,F,F,T,F,,N,N,,
951,0,1,T,F,F,F,F,T,F,,N,N,,
952,28,1,T,F,F,F,F,T,F,,N,N,,
953,0,1,T,F,F,F,F,T,F,,N,N,,
954,0,1,T,F,F,F,F,T,F,,N,N,,
956,0,1,T,F,F,F,F,T,F,,N,N,,
957,98,1,T,F,F,F,T,F,F,,Y,N,,
958,43,1,T,F,F,F,T,F,F,,Y,N,,
959,22,1,T,F,F,F,T,F,F,,Y,N,,
961,11,1,T,F,F,F,T,F,F,,Y,N,,
962,73,1,T,F,F,F,T,F,F,,Y,N,,
963,34,1,T,F,F,F,T,F,F,,Y,N,,
964,22,1,T,F,F,F,T,F,F,,Y,N,,
966,8,1,T,F,F,F,T,F,F,,Y,N,,
967,19,1,T,F,F,F,F,T,F,,N,N,,
968,2,1,T,F,F,F,F,T,F,,N,N,,
969,0,1,T,F,F,F,F,T,F,,N,N,,
971,0,1,T,F,F,F,F,T,F,,N,N,,
972,43,1,T,F,F,F,F,T,F,,N,N,,
973,2,1,T,F,F,F,F,T,F,,N,N,,
974,1,1,T,F,F,F,F,T,F,,N,N,,
975,0,1,T,F,F,F,F,T,F,,N,N,,
977,108,1,T,F,F,F,T,F,F,,Y,N,,
978,55,1,T,F,F,F,T,F,F,,Y,N,,
979,23,1,T,F,F,F,T,F,F,,Y,N,,
981,4,1,T,F,F,F,T,F,F,,Y,N,,
982,62,1,T,F,F,F,F,T,F,,N,N,,
983,7,1,T,F,F,F,F,T,F,,N,N,,
984,0,1,T,F,F,F,F,T,F,,N,N,,
986,0,1,T,F,F,F,F,T,F,,N,N,,
987,95,1,T,F,F,F,T,F,F,,Y,N,,
988,25,1,T,F,F,F,T,F,F,,Y,N,,
989,20,1,T,F,F,F,T,F,F,,Y,N,,
991,6,1,T,F,F,F,T,F,F,,Y,N,,
992,5,1,T,F,F,F,F,F,T,,N,N,,
993,0,1,T,F,F,F,F,F,T,,N,N,,
994,1,1,T,F,F,F,F,F,T,,N,N,,
995,1,1,T,F,F,F,F,F,T,,N,N,,
996,2,1,T,F,F,F,F,F,T,,N,N,,
997,2,1,T,F,F,F,F,F,T,,N,N,,
998,0,1,T,F,F,F,F,F,T,,N,N,,
999,2,1,T,F,F,F,F,F,T,,N,N,,
1001,8,1,T,F,F,F,F,F,T,,N,N,,
1002,5,1,T,F,F,F,F,F,T,,N,N,,
1003,2,1,T,F,F,F,F,F,T,,N,N,,
1004,179,1,T,F,F,F,T,F,F,,Y,N,,
1006,4,1,T,F,F,F,F,F,T,,N,N,,
1007,3,1,T,F,F,F,T,F,F,,Y,N,,
1008,0,1,T,F,F,F,F,T,F,,N,N,,
1009,0,1,T,F,F,F,F,T,F,,N,N,,
1010,3,1,T,F,F,F,T,F,F,,Y,N,,
1011,4,1,T,F,F,F,T,F,F,,Y,N,,
1012,0,1,T,F,F,F,F,T,F,,N,N,,
1013,0,1,T,F,F,F,F,T,F,,N,N,,
1014,2,1,T,F,F,F,T,F,F,,Y,N,,
1015,0,1,T,F,F,F,F,T,F,,N,N,,
1016,3,1,T,F,F,F,T,F,F,,Y,N,,
1017,1,1,T,F,F,F,F,F,T,,N,N,,
1018,1,1,T,F,F,F,F,F,T,,N,N,,
1019,1,1,T,F,F,F,F,F,T,,N,N,,
1020,1,1,T,F,F,F,F,F,T,,N,N,,
1021,7,1,T,F,F,F,F,F,T,,N,N,,
1022,27,1,T,F,F,F,F,F,T,,N,N,,
1023,39,1,T,F,F,F,F,F,T,,N,N,,
1024,5,1,T,F,F,F,F,F,T,,N,N,,
1025,6,1,T,F,F,F,F,T,F,,N,N,,
1026,38,1,T,F,F,F,T,F,F,,Y,N,,
1027,29,1,T,F,F,F,F,T,F,,N,N,,
1028,11,1,T,F,F,F,F,F,T,,N,N,,
1029,2,1,T,F,F,F,F,T,F,,N,N,,
1030,98,1,T,F,F,F,T,F,F,,Y,N,,
1031,2,1,T,F,F,F,F,T,F,,N,N,,
1032,4,1,T,F,F,F,F,T,F,,N,N,,
1033,1,1,T,F,F,F,F,F,T,,N,N,,
1034,29,1,T,F,F,F,T,F,F,,Y,N,,
1035,3,1,T,F,F,F,F,F,T,,N,N,,
1036,12,1,T,F,F,F,F,T,F,,N,N,,
1037,11,1,T,F,F,F,F,T,F,,N,N,,
1038,4,1,T,F,F,F,F,T,F,,N,N,,
1039,60,1,T,F,F,F,T,F,F,,Y,N,,
1040,39,1,T,F,F,F,T,F,F,,Y,N,,
1041,91,1,T,F,F,F,T,F,F,,Y,N,,
1042,19,1,T,F,F,F,T,F,F,,Y,N,,
1043,16,1,T,F,F,F,F,T,F,,N,N,,
1044,49,1,T,F,F,F,T,F,F,,Y,N,,
1045,1,1,T,F,F,F,F,F,T,,N,N,,
1047,10,1,T,F,F,F,F,T,F,,N,N,,
1048,60,1,T,F,F,F,F,F,T,,N,N,,
1049,6,1,T,F,F,F,F,F,T,,N,N,,
1050,46,1,T,F,F,F,F,F,T,,N,N,,
1051,20,1,T,F,F,F,F,T,F,,N,N,,
1052,11,1,T,F,F,F,F,T,F,,N,N,,
1053,24,1,T,F,F,F,F,F,T,,N,N,,
1054,7,1,T,F,F,F,F,F,T,,N,N,,
1055,7,1,T,F,F,F,F,F,T,,N,N,,
1056,4,1,T,F,F,F,F,T,F,,N,N,,
1057,4,1,T,F,F,F,F,F,T,,N,N,,
1058,9,1,T,F,F,F,F,F,T,,N,N,,
1059,5,1,T,F,F,F,F,F,T,,N,N,,
1060,1,1,T,F,F,F,F,F,T,,N,N,,
1061,3,1,T,F,F,F,F,T,F,,N,N,,
1062,1,1,T,F,F,F,F,F,T,,N,N,,
1063,10,1,T,F,F,F,F,F,T,,N,N,,
1064,2,1,T,F,F,F,F,F,T,,N,N,,
1065,3,1,T,F,F,F,F,F,T,,N,N,,
1066,36,1,T,F,F,F,F,F,T,,N,N,,
1067,0,1,T,F,F,F,F,F,T,,N,N,,
1068,2,1,T,F,F,F,F,T,F,,N,N,,
1069,12,1,T,F,F,F,F,T,F,,N,N,,
1070,6,1,T,F,F,F,F,F,T,,N,N,,
1071,5,1,T,F,F,F,F,F,T,,N,N,,
1072,4,1,T,F,F,F,F,T,F,,N,N,,
1073,5,1,T,F,F,F,F,F,T,,N,N,,
1074,0,1,T,F,F,F,F,T,F,,N,N,,
1075,4,1,T,F,F,F,F,T,F,,N,N,,
1076,8,1,T,F,F,F,F,F,T,,N,N,,
1077,9,1,T,F,F,F,F,F,T,,N,N,,
1078,1,1,T,F,F,F,F,F,T,,N,N,,
1079,1,1,T,F,F,F,F,F,T,,N,N,,
1080,1,1,T,F,F,F,F,F,T,,N,N,,
1081,1,1,T,F,F,F,F,F,T,,N,N,,
1082,5,1,T,F,F,F,F,F,T,,N,N,,
1083,207,1,T,F,F,F,F,F,T,,N,N,,
1084,1,1,T,F,F,F,F,F,T,,N,N,,
1085,0,1,T,F,F,F,F,T,F,,N,N,,
1086,0,1,T,F,F,F,F,F,T,,N,N,,
1087,0,1,T,F,F,F,F,T,F,,N,N,,
1088,0,1,T,F,F,F,F,F,T,,N,N,,
1089,0,1,T,F,F,F,F,T,F,,N,N,,
1090,0,1,T,F,F,F,F,F,T,,N,N,,
1091,0,1,T,F,F,F,F,F,T,,N,N,,
1092,0,1,T,F,F,F,F,T,F,,N,N,,
1093,0,1,T,F,F,F,F,F,T,,N,N,,
1094,0,1,T,F,F,F,F,T,F,,N,N,,
1095,0,1,T,F,F,F,F,F,T,,N,N,,
1096,0,1,T,F,F,F,F,T,F,,N,N,,
1097,0,1,T,F,F,F,F,F,T,,N,N,,
1098,0,1,T,F,F,F,F,F,T,,N,N,,
1099,0,1,T,F,F,F,F,F,T,,N,N,,
1100,0,1,T,F,F,F,F,F,T,,N,N,,
1101,0,1,T,F,F,F,F,T,F,,N,N,,
1102,0,1,T,F,F,F,F,F,T,,N,N,,
1103,0,1,T,F,F,F,F,F,T,,N,N,,
1104,0,1,T,F,F,F,F,F,T,,N,N,,
1105,0,1,T,F,F,F,F,F,T,,N,N,,
1106,0,1,T,F,F,F,F,F,T,,N,N,,
1107,0,1,T,F,F,F,F,F,T,,N,N,,
1108,0,1,T,F,F,F,F,F,T,,N,N,,
1109,0,1,T,F,F,F,F,T,F,,N,N,,
1110,0,1,T,F,F,F,F,F,T,,N,N,,
1111,0,1,T,F,F,F,F,T,F,,N,N,,
1112,0,1,T,F,F,F,F,F,T,,N,N,,
1113,0,1,T,F,F,F,F,T,F,,N,N,,
1114,0,1,T,F,F,F,F,F,T,,N,N,,
1115,0,1,T,F,F,F,F,T,F,,N,N,,
1116,0,1,T,F,F,F,F,T,F,,N,N,,
1117,0,1,T,F,F,F,F,F,T,,N,N,,
1118,0,1,T,F,F,F,F,T,F,,N,N,,
1119,0,1,T,F,F,F,F,T,F,,N,N,,
1120,0,1,T,F,F,F,F,F,T,,N,N,,
1121,0,1,T,F,F,F,F,F,T,,N,N,,
1122,0,1,T,F,F,F,F,F,T,,N,N,,
1123,0,1,T,F,F,F,F,F,T,,N,N,,
1124,0,1,T,F,F,F,F,F,T,,N,N,,
1125,0,1,T,F,F,F,F,F,T,,N,N,,
1126,0,1,T,F,F,F,F,T,F,,N,N,,
1127,0,1,T,F,F,F,F,F,T,,N,N,,
1128,0,1,T,F,F,F,F,F,T,,N,N,,
1129,0,1,T,F,F,F,F,T,F,,N,N,,
1130,0,1,T,F,F,F,F,F,T,,N,N,,
1131,0,1,T,F,F,F,F,T,F,,N,N,,
1132,0,1,T,F,F,F,F,F,T,,N,N,,
1133,0,1,T,F,F,F,F,F,T,,N,N,,
1134,0,1,T,F,F,F,F,F,T,,N,N,,
1135,0,1,T,F,F,F,F,F,T,,N,N,,
1136,0,1,T,F,F,F,F,T,F,,N,N,,
1137,0,1,T,F,F,F,F,F,T,,N,N,,
1138,0,1,T,F,F,F,F,F,T,,N,N,,
1139,0,1,T,F,F,F,F,T,F,,N,N,,
1140,0,1,T,F,F,F,F,T,F,,N,N,,
1141,0,1,T,F,F,F,F,F,T,,N,N,,
1142,0,1,T,F,F,F,F,F,T,,N,N,,
1143,0,1,T,F,F,F,F,F,T,,N,N,,
1144,0,1,T,F,F,F,F,F,T,,N,N,,
1145,0,1,T,F,F,F,F,F,T,,N,N,,
1146,0,1,T,F,F,F,F,F,T,,N,N,,
1147,0,1,T,F,F,F,F,F,T,,N,N,,
1148,0,1,T,F,F,F,F,F,T,,N,N,,
1149,0,1,T,F,F,F,F,F,T,,N,N,,
1150,0,1,T,F,F,F,F,F,T,,N,N,,
1151,0,1,T,F,F,F,F,F,T,,N,N,,
1152,0,1,T,F,F,F,F,F,T,,N,N,,
1153,0,1,T,F,F,F,F,F,T,,N,N,,
1154,0,1,T,F,F,F,F,F,T,,N,N,,
1155,0,1,T,F,F,F,F,T,F,,N,N,,
1156,0,1,T,F,F,F,F,F,T,,N,N,,
1157,0,1,T,F,F,F,F,F,T,,N,N,,
1158,0,1,T,F,F,F,F,F,T,,N,N,,
1159,0,1,T,F,F,F,F,T,F,,N,N,,
1161,0,1,T,F,F,F,F,F,T,,N,N,,
1162,0,1,T,F,F,F,F,F,T,,N,N,,
1163,0,1,T,F,F,F,F,F,T,,N,N,,
1164,0,1,T,F,F,F,F,F,T,,N,N,,
1165,0,1,T,F,F,F,F,F,T,,N,N,,
1166,0,1,T,F,F,F,F,F,T,,N,N,,
1167,0,1,T,F,F,F,F,F,T,,N,N,,
1168,0,1,T,F,F,F,F,F,T,,N,N,,
1169,0,1,T,F,F,F,F,F,T,,N,N,,
1170,0,1,T,F,F,F,F,F,T,,N,N,,
1171,0,1,T,F,F,F,F,F,T,,N,N,,
1172,0,1,T,F,F,F,F,F,T,,N,N,,
1173,0,1,T,F,F,F,F,F,T,,N,N,,
1174,0,1,T,F,F,F,F,F,T,,N,N,,
1175,0,1,T,F,F,F,F,F,T,,N,N,,
1176,0,1,T,F,F,F,F,F,T,,N,N,,
1178,0,1,T,F,F,F,F,F,T,,N,N,,
1180,0,1,T,F,F,F,F,T,F,,N,N,,
1181,0,1,T,F,F,F,F,F,T,,N,N,,
1182,0,1,T,F,F,F,F,F,T,,N,N,,
1183,0,1,T,F,F,F,F,F,T,,N,N,,
1184,0,1,T,F,F,F,F,F,T,,N,N,,
1186,0,1,T,F,F,F,F,F,T,,N,N,,
1187,0,1,T,F,F,F,F,F,T,,N,N,,
1188,0,1,T,F,F,F,F,F,T,,N,N,,
1189,0,1,T,F,F,F,F,F,T,,N,N,,
1191,0,1,T,F,F,F,F,F,T,,N,N,,
1195,0,1,T,F,F,F,F,F,T,,N,N,,
1196,0,1,T,F,F,F,F,F,T,,N,N,,
1197,0,1,T,F,F,F,F,F,T,,N,N,,
1198,0,1,T,F,F,F,F,F,T,,N,N,,
1199,0,1,T,F,F,F,F,F,T,,N,N,,
1200,0,1,T,F,F,F,F,F,T,,N,N,,
1201,0,1,T,F,F,F,F,F,T,,N,N,,
1202,0,1,T,F,F,F,F,F,T,,N,N,,
1203,0,1,T,F,F,F,F,F,T,,N,N,,
1204,0,1,T,F,F,F,F,F,T,,N,N,,
1205,0,1,T,F,F,F,F,F,T,,N,N,,
1206,0,1,T,F,F,F,F,F,T,,N,N,,
1208,0,1,T,F,F,F,F,F,T,,N,N,,
1209,0,1,T,F,F,F,F,F,T,,N,N,,
1210,0,1,T,F,F,F,F,F,T,,N,N,,
1213,0,1,T,F,F,F,F,F,T,,N,N,,
1214,0,1,T,F,F,F,F,F,T,,N,N,,
1215,0,1,T,F,F,F,F,F,T,,N,N,,
1216,0,1,T,F,F,F,F,F,T,,N,N,,
1219,0,1,T,F,F,F,F,F,T,,N,N,,
1220,0,1,T,F,F,F,F,F,T,,N,N,,
1221,0,1,T,F,F,F,F,F,T,,N,N,,
1223,0,1,T,F,F,F,F,F,T,,N,N,,
1226,0,1,T,F,F,F,F,F,T,,N,N,,
1228,0,1,T,F,F,F,F,F,T,,N,N,,
1229,0,1,T,F,F,F,F,F,T,,N,N,,
1230,0,1,T,F,F,F,F,F,T,,N,N,,
1232,0,1,T,F,F,F,F,F,T,,N,N,,
1233,0,1,T,F,F,F,F,F,T,,N,N,,
1236,0,1,T,F,F,F,F,F,T,,N,N,,
1237,0,1,T,F,F,F,F,F,T,,N,N,,
1238,0,1,T,F,F,F,F,F,T,,N,N,,
1239,0,1,T,F,F,F,F,F,T,,N,N,,
1243,0,1,T,F,F,F,F,F,T,,N,N,,
1245,0,1,T,F,F,F,F,F,T,,N,N,,
1246,0,1,T,F,F,F,F,F,T,,N,N,,
8,4,2,F,T,F,F,F,F,T,,N,N,,
18,0,2,F,T,F,F,F,F,T,,N,N,,
21,2,2,F,T,F,F,F,F,T,,N,N,,
24,2,2,F,T,F,F,F,F,T,,N,N,,
25,2,2,F,T,F,F,F,F,T,,N,N,,
26,2,2,F,T,F,F,F,F,T,,N,N,,
27,3,2,F,T,F,F,F,F,T,,N,N,,
28,2,2,F,T,F,F,F,F,T,,N,N,,
29,0,2,F,T,F,F,F,F,T,,N,N,,
30,2,2,F,T,F,F,F,F,T,,N,N,,
31,3,2,F,T,F,F,F,F,T,,N,N,,
32,4,2,F,T,F,F,F,F,T,,N,N,,
33,1,2,F,T,F,F,F,F,T,,N,N,,
34,1,2,F,T,F,F,F,F,T,,N,N,,
36,0,2,F,T,F,F,F,F,T,,N,N,,
43,0,2,F,T,F,F,F,T,F,,N,Y,,
44,0,2,F,T,F,F,T,F,F,,N,N,,
45,0,2,F,T,F,F,T,F,F,,N,N,,
46,0,2,F,T,F,F,F,T,F,,N,Y,,
47,0,2,F,T,F,F,F,T,F,,N,Y,,
48,0,2,F,T,F,F,T,F,F,,N,N,,
49,0,2,F,T,F,F,F,F,T,,N,N,,
50,0,2,F,T,F,F,F,F,T,,N,N,,
56,1,2,F,T,F,F,F,F,T,,N,N,,
57,8,2,F,T,F,F,F,F,T,,N,N,,
58,0,2,F,T,F,F,F,F,T,,N,N,,
59,0,2,F,T,F,F,F,F,T,,N,N,,
60,0,2,F,T,F,F,F,F,T,,N,N,,
63,0,2,F,T,F,F,F,F,T,,N,N,,
64,4,2,F,T,F,F,F,F,T,,N,N,,
65,0,2,F,T,F,F,F,F,T,,N,N,,
66,0,2,F,T,F,F,F,F,T,,N,N,,
68,0,2,F,T,F,F,F,F,T,,N,N,,
69,0,2,F,T,F,F,F,F,T,,N,N,,
70,1,2,F,T,F,F,F,F,T,,N,N,,
71,2,2,F,T,F,F,F,F,T,,N,N,,
76,32,2,F,T,F,F,T,F,F,,N,N,,
84,49,2,F,T,F,F,F,T,F,,N,Y,,
102,85,2,F,T,F,F,F,T,F,,N,Y,,
103,24,2,F,T,F,F,T,F,F,,N,N,,
105,30,2,F,T,F,F,F,F,T,,N,N,,
107,0,2,F,T,F,F,F,F,T,,N,N,,
123,12,2,F,T,F,F,T,F,F,,N,N,,
124,1,2,F,T,F,F,F,F,T,,N,N,,
125,4,2,F,T,F,F,F,F,T,,N,N,,
128,23,2,F,T,F,F,T,F,F,,N,N,,
129,6,2,F,T,F,F,T,F,F,,N,N,,
130,22,2,F,T,F,F,F,T,F,,N,Y,,
132,10,2,F,T,F,F,F,F,T,,N,N,,
133,19,2,F,T,F,F,F,F,T,,N,N,,
134,1,2,F,T,F,F,F,F,T,,N,N,,
135,0,2,F,T,F,F,F,F,T,,N,N,,
136,6,2,F,T,F,F,F,F,T,,N,N,,
137,2,2,F,T,F,F,F,F,T,,N,N,,
138,15,2,F,T,F,F,T,F,F,,N,N,,
139,23,2,F,T,F,F,F,T,F,,N,Y,,
140,10,2,F,T,F,F,T,F,F,,N,N,,
141,1,2,F,T,F,F,F,F,T,,N,N,,
144,4,2,F,T,F,F,T,F,F,,N,N,,
145,70,2,F,T,F,F,F,T,F,,N,Y,,
146,15,2,F,T,F,F,F,F,T,,N,N,,
147,4,2,F,T,F,F,F,F,T,,N,N,,
148,1,2,F,T,F,F,F,F,T,,N,N,,
151,2,2,F,T,F,F,F,F,T,,N,N,,
152,1,2,F,T,F,F,F,F,T,,N,N,,
154,32,2,F,T,F,F,T,F,F,,N,N,,
156,2,2,F,T,F,F,F,F,T,,N,N,,
158,19,2,F,T,F,F,T,F,F,,N,N,,
161,0,2,F,T,F,F,F,F,T,,N,N,,
162,0,2,F,T,F,F,F,F,T,,N,N,,
167,0,2,F,T,F,F,F,F,T,,N,N,,
170,1,2,F,T,F,F,F,F,T,,N,N,,
171,6,2,F,T,F,F,F,F,T,,N,N,,
172,45,2,F,T,F,F,F,T,F,,N,Y,,
173,10,2,F,T,F,F,T,F,F,,N,N,,
175,0,2,F,T,F,F,T,F,F,,N,N,,
176,2,2,F,T,F,F,F,F,T,,N,N,,
177,0,2,F,T,F,F,F,F,T,,N,N,,
178,2,2,F,T,F,F,F,F,T,,N,N,,
179,14,2,F,T,F,F,T,F,F,,N,N,,
180,0,2,F,T,F,F,F,F,T,,N,N,,
181,9,2,F,T,F,F,F,F,T,,N,N,,
182,4,2,F,T,F,F,F,F,T,,N,N,,
183,36,2,F,T,F,F,F,T,F,,N,Y,,
184,5,2,F,T,F,F,T,F,F,,N,N,,
188,50,2,F,T,F,F,F,T,F,,N,Y,,
189,33,2,F,T,F,F,F,T,F,,N,Y,,
190,47,2,F,T,F,F,F,T,F,,N,Y,,
191,11,2,F,T,F,F,T,F,F,,N,N,,
192,27,2,F,T,F,F,F,T,F,,N,Y,,
193,17,2,F,T,F,F,T,F,F,,N,N,,
194,49,2,F,T,F,F,F,T,F,,N,Y,,
195,15,2,F,T,F,F,T,F,F,,N,N,,
197,14,2,F,T,F,F,T,F,F,,N,N,,
198,1,2,F,T,F,F,F,F,T,,N,N,,
199,35,2,F,T,F,F,F,T,F,,N,Y,,
200,0,2,F,T,F,F,F,F,T,,N,N,,
201,22,2,F,T,F,F,T,F,F,,N,N,,
204,25,2,F,T,F,F,T,F,F,,N,N,,
205,17,2,F,T,F,F,F,T,F,,N,Y,,
207,0,2,F,T,F,F,F,T,F,,N,Y,,
208,14,2,F,T,F,F,T,F,F,,N,N,,
209,59,2,F,T,F,F,F,T,F,,N,Y,,
212,25,2,F,T,F,F,F,T,F,,N,Y,,
213,59,2,F,T,F,F,F,T,F,,N,Y,,
214,1,2,F,T,F,F,F,F,T,,N,N,,
215,1,2,F,T,F,F,F,F,T,,N,N,,
216,12,2,F,T,F,F,T,F,F,,N,N,,
217,26,2,F,T,F,F,F,T,F,,N,Y,,
220,30,2,F,T,F,F,F,T,F,,N,Y,,
224,28,2,F,T,F,F,T,F,F,,N,N,,
225,0,2,F,T,F,F,F,F,T,,N,N,,
226,1,2,F,T,F,F,F,F,T,,N,N,,
227,1,2,F,T,F,F,F,F,T,,N,N,,
228,8,2,F,T,F,F,F,F,T,,N,N,,
229,27,2,F,T,F,F,T,F,F,,N,N,,
230,8,2,F,T,F,F,T,F,F,,N,N,,
231,6,2,F,T,F,F,F,F,T,,N,N,,
253,5,2,F,T,F,F,T,F,F,,N,N,,
254,2,2,F,T,F,F,F,T,F,,N,Y,,
257,8,2,F,T,F,F,F,T,F,,N,Y,,
287,1,2,F,T,F,F,F,F,T,,N,N,,
290,1,2,F,T,F,F,F,F,T,,N,N,,
291,1,2,F,T,F,F,F,F,T,,N,N,,
292,1,2,F,T,F,F,F,F,T,,N,N,,
293,1,2,F,T,F,F,F,F,T,,N,N,,
294,1,2,F,T,F,F,F,F,T,,N,N,,
295,1,2,F,T,F,F,F,F,T,,N,N,,
296,1,2,F,T,F,F,F,F,T,,N,N,,
297,2,2,F,T,F,F,F,F,T,,N,N,,
298,1,2,F,T,F,F,F,F,T,,N,N,,
299,1,2,F,T,F,F,F,F,T,,N,N,,
300,1,2,F,T,F,F,F,F,T,,N,N,,
301,1,2,F,T,F,F,F,F,T,,N,N,,
302,0,2,F,T,F,F,F,F,T,,N,N,,
307,16,2,F,T,F,F,F,T,F,,N,Y,,
309,17,2,F,T,F,F,T,F,F,,N,N,,
310,0,2,F,T,F,F,F,F,T,,N,N,,
311,0,2,F,T,F,F,F,F,T,,N,N,,
312,0,2,F,T,F,F,F,F,T,,N,N,,
313,4,2,F,T,F,F,F,F,T,,N,N,,
314,8,2,F,T,F,F,T,F,F,,N,N,,
315,0,2,F,T,F,F,F,F,T,,N,N,,
316,6,2,F,T,F,F,T,F,F,,N,N,,
317,3,2,F,T,F,F,F,F,T,,N,N,,
318,4,2,F,T,F,F,F,F,T,,N,N,,
320,15,2,F,T,F,F,F,F,T,,N,N,,
321,61,2,F,T,F,F,T,F,F,,N,N,,
322,2,2,F,T,F,F,F,F,T,,N,N,,
326,17,2,F,T,F,F,T,F,F,,N,N,,
327,1,2,F,T,F,F,F,F,T,,N,N,,
328,23,2,F,T,F,F,T,F,F,,N,N,,
330,0,2,F,T,F,F,F,F,T,,N,N,,
332,1,2,F,T,F,F,F,F,T,,N,N,,
333,8,2,F,T,F,F,T,F,F,,N,N,,
334,23,2,F,T,F,F,F,T,F,,N,Y,,
336,0,2,F,T,F,F,F,F,T,,N,N,,
337,4,2,F,T,F,F,F,T,F,,N,Y,,
338,18,2,F,T,F,F,T,F,F,,N,N,,
341,38,2,F,T,F,F,F,T,F,,N,Y,,
342,16,2,F,T,F,F,F,T,F,,N,Y,,
343,70,2,F,T,F,F,F,T,F,,N,Y,,
345,9,2,F,T,F,F,T,F,F,,N,N,,
346,0,2,F,T,F,F,F,F,T,,N,N,,
347,13,2,F,T,F,F,T,F,F,,N,N,,
349,1,2,F,T,F,F,F,T,F,,N,Y,,
350,0,2,F,T,F,F,F,F,T,,N,N,,
351,0,2,F,T,F,F,F,F,T,,N,N,,
352,30,2,F,T,F,F,F,T,F,,N,Y,,
353,1,2,F,T,F,F,F,F,T,,N,N,,
355,14,2,F,T,F,F,T,F,F,,N,N,,
357,15,2,F,T,F,F,T,F,F,,N,N,,
358,11,2,F,T,F,F,T,F,F,,N,N,,
359,65,2,F,T,F,F,F,T,F,,N,Y,,
360,102,2,F,T,F,F,F,T,F,,N,Y,,
361,0,2,F,T,F,F,F,T,F,,N,Y,,
362,0,2,F,T,F,F,F,F,T,,N,N,,
363,1,2,F,T,F,F,F,F,T,,N,N,,
369,8,2,F,T,F,F,T,F,F,,N,N,,
370,4,2,F,T,F,F,F,T,F,,N,Y,,
372,2,2,F,T,F,F,F,T,F,,N,Y,,
374,0,2,F,T,F,F,T,F,F,,N,N,,
375,54,2,F,T,F,F,F,T,F,,N,Y,,
376,14,2,F,T,F,F,T,F,F,,N,N,,
377,35,2,F,T,F,F,T,F,F,,N,N,,
379,4,2,F,T,F,F,F,F,T,,N,N,,
382,98,2,F,T,F,F,F,T,F,,N,Y,,
384,20,2,F,T,F,F,T,F,F,,N,N,,
386,20,2,F,T,F,F,T,F,F,,N,N,,
387,0,2,F,T,F,F,F,F,T,,N,N,,
393,19,2,F,T,F,F,F,T,F,,N,Y,,
399,42,2,F,T,F,F,F,T,F,,N,Y,,
400,2,2,F,T,F,F,F,F,T,,N,N,,
402,4,2,F,T,F,F,F,F,T,,N,N,,
403,33,2,F,T,F,F,T,F,F,,N,N,,
404,44,2,F,T,F,F,F,T,F,,N,Y,,
405,8,2,F,T,F,F,F,T,F,,N,Y,,
406,1,2,F,T,F,F,F,F,T,,N,N,,
409,1,2,F,T,F,F,F,F,T,,N,N,,
410,1,2,F,T,F,F,F,T,F,,N,Y,,
411,0,2,F,T,F,F,F,F,T,,N,N,,
413,11,2,F,T,F,F,F,T,F,,N,Y,,
414,2,2,F,T,F,F,F,F,T,,N,N,,
416,8,2,F,T,F,F,T,F,F,,N,N,,
