max_score,sampled_at,user_id
5178.25220302,2014-10-21 00:00:00,5263
5177.91747458,2014-10-21 00:00:00,5394
5177.22132407,2014-10-09 00:00:00,1704
5176.99100013,2014-10-09 00:00:00,4543
5176.47779704,2014-10-11 00:00:00,928
5174.0295197,2014-10-11 00:00:00,8934
5173.91092158,2014-10-09 00:00:00,114
5173.83261121,2014-10-21 00:00:00,3878
5173.43916538,2014-10-10 00:00:00,42
5171.72852161,2014-10-09 00:00:00,9115
5171.15858074,2014-10-21 00:00:00,5949
5170.91844132,2014-10-20 00:00:00,709
5170.07847685,2014-10-21 00:00:00,5268
5169.98739739,2014-10-09 00:00:00,9233
5169.66659599,2014-10-09 00:00:00,79
5166.45897115,2014-10-09 00:00:00,9155
5166.15496347,2014-10-21 00:00:00,6060
5162.30844559,2014-10-09 00:00:00,9718
5162.0060182,2014-10-11 00:00:00,9575
5160.65328865,2014-10-14 00:00:00,8925
5159.64283793,2014-10-21 00:00:00,1357
5158.13710082,2014-10-09 00:00:00,161
5157.88881406,2014-10-09 00:00:00,367
5157.20233997,2014-10-09 00:00:00,1982
5155.97428383,2014-10-09 00:00:00,5809
5155.5939638,2014-10-21 00:00:00,1932
5155.16745097,2014-10-21 00:00:00,6061
5154.27512499,2014-10-21 00:00:00,4094
5153.81755327,2014-10-09 00:00:00,7610
5152.82762121,2014-10-15 00:00:00,7369
5151.70341641,2014-10-09 00:00:00,9056
5150.8111766,2014-10-13 00:00:00,2015
5150.27855005,2014-10-21 00:00:00,6560
5149.43648305,2014-10-21 00:00:00,6318
5149.04867453,2014-10-21 00:00:00,230
5148.52524376,2014-10-10 00:00:00,1430
5147.90363519,2014-10-21 00:00:00,173
5147.61895666,2014-11-24 00:00:00,5370
5147.16146668,2014-10-09 00:00:00,1062
5146.34571791,2014-10-21 00:00:00,5105
5144.89390136,2014-10-09 00:00:00,274
5144.77549889,2014-10-09 00:00:00,369
5144.39265843,2014-10-21 00:00:00,5072
5144.27358293,2014-11-06 00:00:00,7711
5143.38384621,2014-10-11 00:00:00,9584
5143.27819828,2014-10-21 00:00:00,3194
5143.19509051,2014-10-21 00:00:00,5278
5142.69851332,2014-10-21 00:00:00,47
5141.26534946,2014-10-11 00:00:00,9598
5139.6255718,2014-10-21 00:00:00,3294
5139.54609082,2014-10-21 00:00:00,5606
5139.29690287,2014-11-24 00:00:00,9151
5137.50319164,2014-10-21 00:00:00,5337
5136.24156399,2014-10-09 00:00:00,9025
5134.60147709,2014-10-21 00:00:00,2037
5134.29090176,2014-10-21 00:00:00,5020
5133.69329046,2014-10-21 00:00:00,4137
5132.2120372,2014-10-21 00:00:00,622
5131.50298309,2014-10-21 00:00:00,6277
5131.44629482,2014-10-09 00:00:00,37
5131.24093481,2014-10-21 00:00:00,298
5131.06181851,2014-10-21 00:00:00,5111
5130.44112211,2014-10-21 00:00:00,4596
5130.3522265,2014-10-09 00:00:00,9427
5129.8010981,2014-10-10 00:00:00,1962
5129.5563956,2014-10-21 00:00:00,1763
5128.77405738,2014-10-21 00:00:00,5888
5128.73679815,2014-10-11 00:00:00,1750
5127.44361279,2014-10-15 00:00:00,270
5127.43408121,2014-10-10 00:00:00,1045
5127.24088946,2014-10-11 00:00:00,880
5126.78906246,2014-10-09 00:00:00,923
5125.79330948,2014-10-09 00:00:00,9301
5124.99328844,2014-10-10 00:00:00,1605
5124.89817298,2014-10-21 00:00:00,4981
5124.86057762,2014-10-21 00:00:00,3986
5124.80837436,2014-10-09 00:00:00,6194
5124.08785032,2014-10-21 00:00:00,1315
5123.84905338,2014-10-10 00:00:00,505
5123.80602825,2014-10-21 00:00:00,4698
5123.75337634,2014-10-13 00:00:00,6209
5123.69654248,2014-10-09 00:00:00,1577
5122.02449451,2014-10-09 00:00:00,9212
5120.82709043,2014-10-09 00:00:00,9072
5120.69191336,2014-10-09 00:00:00,9839
5119.77805107,2014-10-21 00:00:00,1545
5119.0055522,2014-10-09 00:00:00,9274
5118.8171147,2014-10-21 00:00:00,1362
5117.86065605,2014-10-21 00:00:00,4667
5116.99245205,2014-10-21 00:00:00,3603
5116.99244885,2014-10-21 00:00:00,6531
5116.99244885,2014-10-21 00:00:00,6167
5116.86559901,2014-10-21 00:00:00,2850
5116.53812784,2014-10-21 00:00:00,3318
5116.33026201,2014-10-21 00:00:00,4658
5116.2022877,2014-10-09 00:00:00,2321
5116.19225028,2014-10-21 00:00:00,3886
5115.80298262,2014-10-09 00:00:00,9134
5115.61142789,2014-10-09 00:00:00,9191
5115.21410667,2014-10-21 00:00:00,1423
5115.03766077,2014-10-21 00:00:00,182
5114.06314495,2014-10-21 00:00:00,4401
5113.54518882,2014-10-11 00:00:00,836
5113.00695301,2014-10-21 00:00:00,5769
5111.2205382,2014-10-21 00:00:00,5429
5111.21817769,2014-10-21 00:00:00,6181
5110.35584956,2014-10-21 00:00:00,1286
5110.35385305,2014-10-10 00:00:00,592
5108.54427311,2014-10-17 00:00:00,9494
5108.53297857,2014-10-21 00:00:00,5621
5108.24757037,2014-10-09 00:00:00,1929
5108.13175364,2014-10-21 00:00:00,2041
5107.5393886,2014-10-21 00:00:00,3236
5106.98919463,2014-10-21 00:00:00,481
5106.5293583,2014-10-21 00:00:00,9650
5106.46442555,2014-10-21 00:00:00,5555
5106.46411834,2014-10-21 00:00:00,4459
5106.11066601,2014-10-30 00:00:00,1809
5105.50675398,2014-10-21 00:00:00,6302
5105.05666397,2014-10-21 00:00:00,5354
5104.71239121,2014-10-21 00:00:00,4072
5104.64401642,2014-10-21 00:00:00,6473
5104.5898943,2014-10-21 00:00:00,5372
5104.44241178,2014-10-21 00:00:00,6328
5104.41384387,2014-10-09 00:00:00,9384
5103.89618009,2014-10-21 00:00:00,2147
5103.49280195,2014-10-21 00:00:00,5016
5103.44699934,2014-10-21 00:00:00,5959
5103.43226495,2014-10-21 00:00:00,3667
5103.06329002,2014-10-21 00:00:00,6460
5102.97169411,2014-10-21 00:00:00,4723
5102.63327508,2014-10-09 00:00:00,9257
5102.16353897,2014-10-09 00:00:00,9764
5102.0390339,2014-10-21 00:00:00,3567
5101.90775051,2014-10-09 00:00:00,868
5101.53878872,2014-10-09 00:00:00,9255
5101.48879482,2014-10-09 00:00:00,9350
5101.4788587,2014-10-21 00:00:00,5456
5101.31756341,2014-10-21 00:00:00,9411
5100.53118837,2014-10-09 00:00:00,1086
5100.52670319,2014-10-14 00:00:00,8928
5100.12070873,2014-10-09 00:00:00,9269
5100.12069352,2014-10-09 00:00:00,9154
5099.72941487,2014-10-09 00:00:00,43
5099.6485425,2014-10-21 00:00:00,1817
5098.86921975,2014-10-21 00:00:00,5001
5098.43161426,2014-10-21 00:00:00,6565
5098.35550025,2014-10-21 00:00:00,6352
5098.21260721,2014-10-21 00:00:00,4671
5097.74175208,2014-10-09 00:00:00,1703
5097.50890758,2014-10-09 00:00:00,1799
5097.46364155,2014-10-09 00:00:00,855
5097.43457009,2014-10-09 00:00:00,108
5097.08536543,2014-10-21 00:00:00,6876
5097.01002329,2014-10-09 00:00:00,9022
5096.61930261,2014-10-21 00:00:00,4841
5096.37895881,2014-10-21 00:00:00,3313
5096.1286462,2014-10-09 00:00:00,294
5095.98573773,2014-10-21 00:00:00,6378
5095.64737279,2014-10-21 00:00:00,3712
5095.36588754,2014-10-21 00:00:00,3709
5095.27542981,2014-10-09 00:00:00,9527
5095.1739448,2014-10-09 00:00:00,1526
5095.14504954,2014-10-10 00:00:00,3068
5093.56555477,2014-10-15 00:00:00,516
5093.25877946,2014-10-21 00:00:00,1420
5093.17612772,2014-10-21 00:00:00,4125
5092.56338805,2014-10-21 00:00:00,6143
5092.54052473,2014-10-09 00:00:00,1988
5092.3097365,2014-11-24 00:00:00,3247
5092.05148101,2014-10-21 00:00:00,5183
5091.64717018,2014-10-21 00:00:00,2174
5091.47058779,2014-10-15 00:00:00,2221
5090.6188981,2014-10-21 00:00:00,5787
5090.36311005,2014-10-21 00:00:00,5811
5090.15903413,2014-10-21 00:00:00,4406
5090.13478016,2014-10-21 00:00:00,6247
5089.71762355,2014-10-09 00:00:00,1025
5089.5157308,2014-10-09 00:00:00,9143
5089.30879793,2014-10-21 00:00:00,2303
5089.2858985,2014-10-21 00:00:00,524
5089.02555097,2014-10-09 00:00:00,9313
5088.909051,2014-10-21 00:00:00,2093
5088.90180399,2014-10-21 00:00:00,5995
5088.86880023,2014-10-21 00:00:00,23
5088.73528972,2014-10-09 00:00:00,2138
5088.72247463,2014-10-09 00:00:00,9039
5088.70006855,2014-10-21 00:00:00,5784
5088.29771551,2014-10-21 00:00:00,3907
5088.29257407,2014-10-21 00:00:00,2337
5087.55259257,2014-10-21 00:00:00,5989
5087.53876666,2014-10-20 00:00:00,507
5087.47405255,2014-10-21 00:00:00,2507
5087.11435609,2014-10-21 00:00:00,4890
5086.27545012,2014-10-21 00:00:00,6534
5086.10132922,2014-10-21 00:00:00,9475
5086.04660737,2014-10-21 00:00:00,3647
5086.0296552,2014-10-09 00:00:00,48
5085.59980818,2014-10-09 00:00:00,1421
5084.73871925,2014-10-09 00:00:00,1943
5084.69039456,2014-10-09 00:00:00,9060
5084.62665643,2014-10-09 00:00:00,9161
5084.51981949,2014-10-21 00:00:00,4033
5084.16806407,2014-10-21 00:00:00,3926
5084.08432627,2014-10-11 00:00:00,113
5083.65238194,2014-10-21 00:00:00,3814
5083.4651208,2014-10-21 00:00:00,3174
5083.2219711,2014-10-15 00:00:00,583
5083.13419325,2014-10-21 00:00:00,4015
5083.00749986,2014-10-21 00:00:00,6175
5082.77292621,2014-10-21 00:00:00,5571
5082.72294056,2014-10-15 00:00:00,1289
5082.59922459,2014-10-13 00:00:00,1530
5082.47114674,2014-10-21 00:00:00,5014
5082.3829208,2014-10-21 00:00:00,5559
5082.36598954,2014-10-21 00:00:00,5496
5081.86369116,2014-10-21 00:00:00,5336
5081.62828009,2014-10-09 00:00:00,9225
5081.55975105,2014-10-21 00:00:00,6274
5081.46391559,2014-10-21 00:00:00,4403
5081.42690725,2014-10-21 00:00:00,2143
5081.38685087,2014-10-21 00:00:00,3700
5081.03916387,2014-10-09 00:00:00,9722
5080.97517237,2014-10-21 00:00:00,5968
5080.80420391,2014-10-21 00:00:00,4367
5080.72102509,2014-10-21 00:00:00,6477
5080.67090423,2014-10-21 00:00:00,5104
5080.55670866,2014-10-21 00:00:00,6347
5080.35303616,2014-10-21 00:00:00,5438
5079.76616803,2014-10-21 00:00:00,6155
5079.56458879,2014-10-21 00:00:00,4525
5079.51340574,2014-10-30 00:00:00,2360
5079.11955241,2014-10-10 00:00:00,5742
5078.67542678,2014-10-21 00:00:00,3526
5078.2383579,2014-10-21 00:00:00,5369
5077.69690004,2014-10-09 00:00:00,749
5077.59498233,2014-10-09 00:00:00,6487
5077.16021076,2014-10-21 00:00:00,4590
