"Question_Number","Resolution_Date","SciCast_Brier_Score","ULinop_Brier_Score","Number_of_Users","Number_of_Forecasts","Number_of_Comments"
"918",2015-01-13 13:00:00,0.911548984255615,2,51,320,4
"92",2014-09-29 00:00:00,0.299894474353383,2,19,78,0
"920",2014-11-30 22:59:59,0.335946948149877,2,30,579,26
"922",2014-11-23 23:59:59,0.019331386900976,2,22,82,4
"923",2014-11-23 23:59:59,0.00215775632340714,2,19,41,0
"924",2015-01-11 23:59:59,0.181017813162071,2,22,32,3
"93",2014-09-29 00:00:00,0.275629817407818,2,23,88,0
"930",2014-10-17 00:00:00,0.133695723098102,2,8,67,10
"934",2014-12-31 22:59:59,0.0433950316641312,2,17,35,5
"937",2014-12-31 23:59:59,0.282705207251224,2,37,84,1
"939",2014-11-20 10:08:59,0.0296608030395574,2,5,9,1
"94",2014-09-29 00:00:00,0.240617129777318,2,23,93,0
"941",2014-10-31 23:59:59,1.45489029851029,2,5,5,0
"95",2014-09-29 00:00:00,0.208277802301678,2,24,101,0
"96",2014-10-05 23:14:00,0.222444426678286,2,36,117,13
"97",2014-09-29 00:00:00,0.528401157198817,2,22,75,2
"98",2014-09-29 00:00:00,0.301195283985123,2,19,75,1
"99",2014-09-29 00:00:00,0.108626670291417,2,39,145,0
