"Question_Number","Resolution_Date","SciCast_Brier_Score","ULinop_Brier_Score","Number_of_Users","Number_of_Forecasts","Number_of_Comments"
"207",2014-06-16 23:00:00,0.871269051496711,2,81,109,9
"211",2014-09-14 23:00:00,0.165117658630856,2,28,97,1
"213",2014-12-31 23:00:00,0.34784212731636,2,70,148,2
"217",2014-12-17 22:00:00,0.0835414535481541,2,74,273,20
"22",2014-01-15 00:00:00,0.364417097535758,2,4,4,2
"220",2014-12-31 23:59:59,0.2457458320864,2,49,107,0
"224",2014-12-31 00:00:00,0.0717859473582224,2,91,234,12
"226",2014-12-23 23:00:00,0.2408534899359,2,35,124,2
"229",2014-12-31 00:00:00,0.243179465303243,2,50,171,2
"231",2014-12-31 00:00:00,0.513991247772121,2,28,53,0
"232",2014-05-16 00:00:00,0.732354790657781,2,3,3,6
"255",2014-08-21 00:00:00,0.616149982541957,2,24,50,1
"256",2014-07-20 00:00:00,0.65769746257457,2,19,27,6
"282",2014-04-11 00:00:00,0.196744139215576,2,12,61,0
"283",2014-04-10 00:00:00,0.269671105779234,2,5,22,0
"284",2014-04-10 00:00:00,0.270118154818615,2,11,57,2
"285",2014-04-09 23:00:00,0.288331690652107,2,10,53,0
"286",2014-03-07 00:00:00,0.804049146315248,2,4,25,1
"287",2014-11-10 22:00:00,0.354766588988601,2,57,351,17
"3",2014-09-29 00:00:00,0.291040071537888,2,27,104,6
"303",2014-03-13 00:00:00,0.500058373195389,2,13,20,1
"304",2014-03-13 00:00:00,0.252233076619336,2,6,11,1
"305",2014-03-13 00:00:00,0.134614293974324,2,9,15,0
"306",2014-03-13 00:00:00,0.312697940201338,2,8,15,0
"319",2014-05-28 00:00:00,0.0645093684846958,2,42,153,8
"321",2014-12-31 00:00:00,0.0963570622832794,2,72,862,67
"323",2014-09-09 00:00:00,0.266297250538182,2,18,28,3
"324",2014-06-10 00:00:00,0.259605473192524,2,8,30,10
"325",2014-09-29 00:00:00,0.190278440129959,2,47,263,8
"326",2014-12-31 00:00:00,0.156582205209783,2,44,164,0
"328",2015-02-11 23:59:59,0.265218313138952,2,60,136,16
"331",2014-07-11 00:00:00,0.234823414314809,2,24,62,0
"335",2014-07-25 00:00:00,0.758126929037732,2,42,169,4
"343",2015-03-04 23:59:59,0.420968027891522,2,82,179,12
"344",2014-06-28 00:00:00,0.234979469509236,2,85,572,78
"345",2014-12-31 00:00:00,0.444908173500808,2,36,84,5
"346",2014-11-16 17:00:00,0.411010947649346,2,38,80,9
"347",2014-12-31 00:00:00,0.321037748205967,2,37,90,0
"348",2014-08-04 00:00:00,0.508129102459905,2,32,151,5
"349",2014-12-13 23:59:00,0.612283294538614,2,46,245,37
"352",2014-12-15 22:00:00,0.255075500424572,2,59,133,19
"354",2014-09-11 00:00:00,0.0721570227326241,2,100,305,22
"355",2015-01-01 00:00:00,0.994710497224719,2,49,104,3
"356",2014-03-31 00:00:00,0.631233463807098,2,17,109,1
"357",2014-10-27 23:59:00,0.970504813588661,2,28,54,3
"358",2015-01-13 00:00:00,0.39179221770642,2,124,217,5
"359",2015-01-13 00:00:00,0.0774188786526017,2,82,191,5
"360",2015-03-04 23:59:59,0.262635099716566,2,85,197,6
"361",2014-10-28 00:00:00,0.311446393524022,2,29,67,2
"364",2014-06-17 00:00:00,0.0419567439811993,2,35,66,7
"365",2014-06-30 00:00:00,0.484789873813471,2,110,347,13
"37",2014-10-01 23:00:00,0.352371904476482,2,24,159,18
"372",2014-11-30 21:00:00,0.100137712252576,2,69,201,5
"373",2014-08-13 00:00:00,0.32128215492985,2,63,192,9
"374",2014-11-30 23:00:00,0.404194470750497,2,132,484,32
"376",2015-01-06 00:00:00,0.107175562076472,2,43,127,6
"379",2015-02-02 06:59:59,0.263940462198876,2,36,183,2
"38",2014-10-10 23:00:00,0.547513722770838,2,33,113,5
"383",2014-04-30 00:00:00,0.659369296807008,2,49,154,2
"384",2014-12-30 00:00:00,0.205318782125969,2,54,266,2
"385",2014-09-17 00:00:00,0.389009160006365,2,48,121,1
"386",2014-12-31 23:00:00,0.0583654894291775,2,136,371,9
"388",2014-07-31 00:00:00,0.187577763127304,2,21,70,8
"389",2014-10-01 00:00:00,0.026342854346668,2,35,156,17
"39",2014-06-23 00:00:00,0.399086993360103,2,35,201,1
"395",2014-07-03 00:00:00,0.212202783187019,2,14,24,5
"396",2014-05-31 00:00:00,0.113827030571162,2,82,126,3
"397",2014-04-30 00:00:00,0.0834107168638894,2,51,110,0
"398",2014-09-30 00:00:00,0.232470084947476,2,43,141,5
"4",2014-09-29 00:00:00,1.17905911537154,2,25,96,5
"40",2014-06-23 00:00:00,0.443792651265411,2,45,187,12
"401",2014-09-30 00:00:00,0.157884998591164,2,55,410,51
"403",2015-02-11 23:59:59,1.22173308568155,2,92,240,6
"404",2015-02-11 23:59:00,0.187193597651058,2,70,159,4
"405",2014-11-23 23:59:59,0.152546729435499,2,26,56,3
"407",2014-06-27 00:00:00,0.728101867979559,2,16,36,2
"408",2014-06-30 00:00:00,0.438970494789506,2,61,211,30
"41",2014-06-23 00:00:00,0.0702001959934057,2,31,166,12
"410",2014-11-30 22:00:00,0.158146267486813,2,70,266,9
"416",2014-12-31 00:00:00,0.110894832923804,2,36,83,5
"417",2014-12-31 00:00:00,0.420506257086469,2,53,100,5
"418",2014-12-31 00:00:00,0.0349371248286427,2,96,319,8
"419",2014-12-30 23:00:00,0.168802391994304,2,52,126,3
"42",2014-06-23 00:00:00,0.285629876201912,2,39,175,2
"420",2015-03-04 23:59:59,0.559191232467897,2,75,337,14
"422",2014-12-31 23:59:59,0.357328473424,2,44,74,10
"423",2014-07-11 00:00:00,0.240564300931194,2,26,64,1
"425",2014-09-22 08:30:59,0.483135414415974,2,38,145,1
"428",2014-12-31 23:59:59,0.112075725506457,2,42,94,3
"429",2014-04-25 00:00:00,0.081378065524889,2,36,46,0
"43",2014-11-17 14:31:36,0.219072626848674,2,36,183,1
"430",2014-06-12 00:00:00,0.244294831998266,2,6,12,1
"432",2014-06-12 00:00:00,0.570387087876034,2,8,19,3
"433",2014-06-12 00:00:00,0.600092307335833,2,7,14,2
"434",2014-06-30 00:00:00,0.0704217776403126,2,55,149,17
"438",2014-09-28 23:59:59,0.627556167883826,2,23,38,3
"44",2014-11-17 14:31:36,0.200716468561677,2,42,196,4
"444",2014-06-06 00:00:00,0.210657633571729,2,46,84,8
"445",2015-01-12 23:59:59,0.171107298859662,2,64,120,1
"447",2015-02-06 10:59:59,0.215448332554824,2,130,426,67
"45",2014-11-17 13:31:36,0.0642980578526399,2,37,147,2
"451",2014-12-31 23:59:59,0.182130354058594,2,49,116,4
"452",2015-02-06 09:59:59,0.200879902678963,2,137,344,16
"457",2014-07-25 00:00:00,0.0426635088231265,2,28,74,0
"458",2014-07-25 00:00:00,0.00810699814579286,2,24,65,2
"459",2014-12-31 23:59:59,0.104633440970547,2,50,162,6
"46",2014-11-17 14:31:36,0.512296327344293,2,33,159,2
